kol_id,channel,num_video,avg_play,max_play,min_play,std_play,followers_count,avg_comment,avg_share,avg_collect,avg_post_score,interaction_rate,vol_play,z_avg_post_score,z_vol_play,influence_potential_score
0be7a8f3-a2ec-4fdd-8972-9ac34a2479d9,instagram,30,54352.3,491705.0,2222.0,121564.06095897724,9361,116.2,1027.5333333333333,0.0,73200.96666666666,0.12215333374753126,4.0265436687342975,-0.043916940529297385,-0.8970400877910298,2.558564806162833
0be860e3-51fb-4efa-b08e-981aa372ce9e,instagram,30,28651.1,400810.0,3610.0,70698.08234942591,61094,17.6,63.96666666666667,0.0,30110.366666666665,0.01696051680311101,5.618257055924593,-0.2108067757661335,1.1237225770829349,3.4481734494156315
0be87967-7a9e-4f58-ad1f-378312260325,instagram,30,25468.9,409789.0,1361.0,83335.1562424597,42138,16.466666666666665,191.23333333333332,0.0,31567.766666666666,0.03474259865331467,4.901028790438671,-0.20516226754684289,0.21316411049576695,3.1586608619420096
0bea6ef7-0f87-47db-a9d2-61e1038a7b8c,instagram,30,57821.73333333333,1683949.0,295.0,307129.18034441123,8647,31.433333333333334,1328.0333333333333,0.0,66434.33333333333,0.03013204583191611,5.481908290550475,-0.07012410223296554,0.9506207506567326,2.8846127216170645
0beb599a-f9cc-4a75-a428-7fa1bba57229,instagram,30,107381.73333333334,1301679.0,2477.0,309297.55618612206,12668,78.16666666666667,1110.5333333333333,0.0,120954.4,0.011251890463346818,4.200492289755421,0.14103204187041946,-0.6762032953165483,2.7563713498118085
0bebbd6f-61a9-4cc5-8ebd-73936ac5c0a0,instagram,30,15606.8,309208.0,1188.0,55702.559270368954,13036,15.766666666666667,18.033333333333335,0.0,16295.533333333333,0.025610600413501765,5.529727970036946,-0.2643116064908009,1.0113303128996414,2.9417665043237915
0bec6a34-1112-44bc-b2e6-e4af84aea3be,tiktok,30,26507.433333333334,200110.0,356.0,51072.57480777136,27100,26.9,132.8,50.86666666666667,31801.7,0.06138166743680799,3.9111793511848716,-0.20425624406477477,-1.0435010697986362,2.7779332271248416
0bed3d98-ba62-49d2-b949-bb6519c2dbc4,tiktok,30,3987.3333333333335,32182.0,635.0,5658.445901746213,6164,10.633333333333333,6.633333333333334,49.233333333333334,4651.933333333333,0.08110224751028293,5.575205727470948,-0.30940725346632747,1.0690666836837353,2.7161536847807772
0bf11e67-af64-44d1-8836-7dc8d01f3067,instagram,23,13791.565217391304,38233.0,1885.0,9131.801892418142,56563,182.56521739130434,1.4782608695652173,0.0,14593.304347826086,0.009728522418911114,3.9803754426800086,-0.27090433703822125,-0.95565304428482,2.9844189143979385
0bf1c795-ad92-4537-a126-dcca8dbe0288,instagram,30,431495.2,3380884.0,16611.0,806262.5799709464,42099,230.6,6552.566666666667,0.0,507875.6,0.0466035774382648,4.172676598883246,1.6395773236172255,-0.7115167569387988,3.7125288417040987
